Designator,Mid X,Mid Y,Rotation,Layer
IC212,212.8892,-81.8412,0.0,top
IC213,217.1392,-81.8412,0.0,top
IC214,221.3892,-81.8412,0.0,top
IC215,225.6392,-81.8412,0.0,top
IC216,229.8892,-81.8412,0.0,top
IC217,234.1392,-81.8412,0.0,top
IC218,238.3892,-81.8412,0.0,top
IC219,242.6392,-81.8412,0.0,top
IC22,170.3892,-43.5912,0.0,top
IC220,246.8892,-81.8412,0.0,top
IC221,166.1392,-86.0912,0.0,top
IC222,170.3892,-86.0912,0.0,top
IC223,174.6392,-86.0912,0.0,top
IC224,178.8892,-86.0912,0.0,top
IC225,183.1392,-86.0912,0.0,top
IC226,187.3892,-86.0912,0.0,top
IC227,191.6392,-86.0912,0.0,top
IC228,195.8892,-86.0912,0.0,top
IC229,200.1392,-86.0912,0.0,top
IC23,174.6392,-43.5912,0.0,top
IC230,204.3892,-86.0912,0.0,top
IC231,208.6392,-86.0912,0.0,top
IC232,212.8892,-86.0912,0.0,top
IC233,217.1392,-86.0912,0.0,top
IC234,221.3892,-86.0912,0.0,top
IC235,225.6392,-86.0912,0.0,top
IC236,229.8892,-86.0912,0.0,top
IC237,234.1392,-86.0912,0.0,top
IC238,238.3892,-86.0912,0.0,top
IC239,242.6392,-86.0912,0.0,top
IC24,178.8892,-43.5912,0.0,top
IC240,246.8892,-86.0912,0.0,top
IC241,166.1392,-90.3412,0.0,top
IC242,170.3892,-90.3412,0.0,top
IC243,174.6392,-90.3412,0.0,top
IC244,178.8892,-90.3412,0.0,top
IC245,183.1392,-90.3412,0.0,top
IC246,187.3892,-90.3412,0.0,top
IC247,191.6392,-90.3412,0.0,top
IC248,195.8892,-90.3412,0.0,top
IC249,200.1392,-90.3412,0.0,top
IC25,183.1392,-43.5912,0.0,top
IC250,204.3892,-90.3412,0.0,top
IC251,208.6392,-90.3412,0.0,top
IC252,212.8892,-90.3412,0.0,top
IC253,217.1392,-90.3412,0.0,top
IC254,221.3892,-90.3412,0.0,top
IC255,225.6392,-90.3412,0.0,top
IC256,229.8892,-90.3412,0.0,top
IC257,234.1392,-90.3412,0.0,top
IC258,238.3892,-90.3412,0.0,top
IC259,242.6392,-90.3412,0.0,top
IC26,187.3892,-43.5912,0.0,top
IC260,246.8892,-90.3412,0.0,top
IC261,166.1392,-94.5912,0.0,top
IC262,170.3892,-94.5912,0.0,top
IC263,174.6392,-94.5912,0.0,top
IC264,178.8892,-94.5912,0.0,top
IC265,183.1392,-94.5912,0.0,top
IC266,187.3892,-94.5912,0.0,top
IC267,191.6392,-94.5912,0.0,top
IC268,195.8892,-94.5912,0.0,top
IC269,200.1392,-94.5912,0.0,top
IC27,191.6392,-43.5912,0.0,top
IC270,204.3892,-94.5912,0.0,top
IC271,208.6392,-94.5912,0.0,top
IC272,212.8892,-94.5912,0.0,top
IC273,217.1392,-94.5912,0.0,top
IC274,221.3892,-94.5912,0.0,top
IC275,225.6392,-94.5912,0.0,top
IC276,229.8892,-94.5912,0.0,top
IC277,234.1392,-94.5912,0.0,top
IC278,238.3892,-94.5912,0.0,top
IC279,242.6392,-94.5912,0.0,top
IC28,195.8892,-43.5912,0.0,top
IC280,246.8892,-94.5912,0.0,top
IC281,166.1392,-98.8412,0.0,top
IC282,170.3892,-98.8412,0.0,top
IC283,174.6392,-98.8412,0.0,top
IC284,178.8892,-98.8412,0.0,top
IC285,183.1392,-98.8412,0.0,top
IC286,187.3892,-98.8412,0.0,top
IC287,191.6392,-98.8412,0.0,top
